id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
61,90860000001,177963,15.45767726,1988-01-02,744,0.0781,29.7568,-95.38323,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
61,90860000001,177963,15.45767726,1988-01-02,744,0.0781,29.7568,-95.38323,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
62,90860000002,172735,15.5696355,2016-06-06,942,0.0758,29.75681,-95.38342,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
62,90860000002,172735,15.5696355,2016-06-06,942,0.0758,29.75681,-95.38342,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
62,90860000002,172735,15.5696355,2016-06-06,942,0.0758,29.75681,-95.38342,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
63,90860000003,202753,9.999945747,2004-04-15,684,0.1148,29.75681,-95.38355,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
63,90860000003,202753,9.999945747,2004-04-15,684,0.1148,29.75681,-95.38355,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
63,90860000003,202753,9.999945747,2004-04-15,684,0.1148,29.75681,-95.38355,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
64,90860000004,260600,15.3919385,2015-08-07,713,0.1148,29.75687,-95.38367,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
64,90860000004,260600,15.3919385,2015-08-07,713,0.1148,29.75687,-95.38367,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
64,90860000004,260600,15.3919385,2015-08-07,713,0.1148,29.75687,-95.38367,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
65,90860000005,335500,10,2016-09-15,1396,0.1148,29.75682,-95.38386,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
65,90860000005,335500,10,2016-09-15,1396,0.1148,29.75682,-95.38386,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
65,90860000005,335500,10,2016-09-15,1396,0.1148,29.75682,-95.38386,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
66,90860000014,155912,15.57084192,1997-05-14,942,0.0633,29.75683,-95.38333,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
66,90860000014,155912,15.57084192,1997-05-14,942,0.0633,29.75683,-95.38333,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
66,90860000014,155912,15.57084192,1997-05-14,942,0.0633,29.75683,-95.38333,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
67,90870000017,53214,-7.12116452,1988-01-02,756,0.0234,29.75707,-95.38324,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
67,90870000017,53214,-7.12116452,1988-01-02,756,0.0234,29.75707,-95.38324,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
67,90870000017,53214,-7.12116452,1988-01-02,756,0.0234,29.75707,-95.38324,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
68,90870000020,57554,-2.285229202,2013-09-10,654,0.0252,29.75713,-95.38336,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
68,90870000020,57554,-2.285229202,2013-09-10,654,0.0252,29.75713,-95.38336,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
68,90870000020,57554,-2.285229202,2013-09-10,654,0.0252,29.75713,-95.38336,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
69,90950010001,327124,0.439987596,2016-10-15,1802,0.0378,29.75634,-95.3797,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
69,90950010001,327124,0.439987596,2016-10-15,1802,0.0378,29.75634,-95.3797,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
69,90950010001,327124,0.439987596,2016-10-15,1802,0.0378,29.75634,-95.3797,77019,8318.06,BUCKNER STREET T/H'S,2310,101912322,High,95,1,90
70,90950010002,360398,0.544011963,2014-10-31,2133,0.0378,29.75625,-95.3797,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
70,90950010002,360398,0.544011963,2014-10-31,2133,0.0378,29.75625,-95.3797,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
